t,1,2,3
0,0.0,0.0,1.4059856746931581e-14
1,0.0,0.0,1.4059856746931581e-14
2,0.0,0.0,1.4059856746931581e-14
3,0.0,0.0,1.4059856746931581e-14
4,0.0,0.0,1.4059856746931581e-14
5,0.0,0.0,1.4059856746931581e-14
6,0.0,0.0,1.4059856746931581e-14
7,0.0,0.0,1.4059856746931581e-14
8,0.0,0.0,1.4059856746931581e-14
9,0.0,0.0,1.4059856746931581e-14
10,0.0,0.0,1.4059856746931581e-14
11,0.0,0.0,1.4059856746931581e-14
12,0.0,0.0,1.4059856746931581e-14
13,0.0,0.0,1.4059856746931581e-14
14,0.0,0.0,1.4059856746931581e-14
15,0.0,0.0,1.4059856746931581e-14
16,0.0,0.0,1.4059856746931581e-14
17,0.0,0.0,1.4059856746931581e-14
18,0.0,0.0,1.4059856746931581e-14
19,0.0,0.0,1.4059856746931581e-14
20,0.0,0.0,1.4059856746931581e-14
21,0.0,0.0,1.4059856746931581e-14
22,0.0,0.0,1.4059856746931581e-14
23,0.0,0.0,1.4059856746931581e-14
24,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
25,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
26,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
27,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
28,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
29,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
30,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
31,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
32,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
33,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
34,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
35,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
36,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
37,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
38,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
39,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
40,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
41,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
42,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
43,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
44,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
45,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
46,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
47,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
48,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
49,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
50,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
51,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
52,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
53,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
54,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
55,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
56,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
57,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
58,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
59,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
60,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
61,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
62,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
63,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
64,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
65,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
66,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
67,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
68,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
69,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
70,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
71,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
72,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
73,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
74,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
75,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
76,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
77,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
78,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
79,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
80,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
81,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
82,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
83,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
84,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
85,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
86,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
87,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
88,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
89,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
90,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
91,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
92,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
93,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
94,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
95,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
96,0.0,0.0,1.4059856746931581e-14
97,0.0,0.0,1.4059856746931581e-14
98,0.0,0.0,1.4059856746931581e-14
99,0.0,0.0,1.4059856746931581e-14
100,0.0,0.0,1.4059856746931581e-14
101,0.0,0.0,1.4059856746931581e-14
102,0.0,0.0,1.4059856746931581e-14
103,0.0,0.0,1.4059856746931581e-14
104,0.0,0.0,1.4059856746931581e-14
105,0.0,0.0,1.4059856746931581e-14
106,0.0,0.0,1.4059856746931581e-14
107,0.0,0.0,1.4059856746931581e-14
108,0.0,0.0,1.4059856746931581e-14
109,0.0,0.0,1.4059856746931581e-14
110,0.0,0.0,1.4059856746931581e-14
111,0.0,0.0,1.4059856746931581e-14
112,0.0,0.0,1.4059856746931581e-14
113,0.0,0.0,1.4059856746931581e-14
114,0.0,0.0,1.4059856746931581e-14
115,0.0,0.0,1.4059856746931581e-14
116,0.0,0.0,1.4059856746931581e-14
117,0.0,0.0,1.4059856746931581e-14
118,0.0,0.0,1.4059856746931581e-14
119,0.0,0.0,1.4059856746931581e-14
120,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
121,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
122,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
123,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
124,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
125,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
126,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
127,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
128,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
129,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
130,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
131,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
132,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
133,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
134,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
135,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
136,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
137,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
138,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
139,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
140,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
141,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
142,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
143,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
144,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
145,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
146,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
147,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
148,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
149,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
150,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
151,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
152,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
153,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
154,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
155,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
156,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
157,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
158,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
159,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
160,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
161,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
162,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
163,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
164,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
165,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
166,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
167,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
168,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
169,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
170,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
171,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
172,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
173,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
174,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
175,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
176,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
177,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
178,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
179,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
180,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
181,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
182,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
183,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
184,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
185,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
186,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
187,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
188,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
189,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
190,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
191,1.4059856746931581e-14,1.4059856746931581e-14,1.4059856746931581e-14
192,0.0,0.0,1.4059856746931581e-14
