"","date_from","weekly_mean_pos_ht","sum_remuneration","sum_power","average"
"1",2015-01-05,784.487553191489,1688319.69,2073,814.433039073806
"2",2015-01-12,627.986444444444,1320995.9,2070,638.162270531401
"3",2015-01-19,477.711,996959.76,2061,483.726229985444
"4",2015-01-26,465.152823529412,989240.76,2071,477.663331723805
"5",2015-02-02,409.378842105263,876323.76,2098,417.694833174452
"6",2015-02-09,376.641195652174,796725.76,2066,385.636863504356
"7",2015-02-16,359.503939393939,756034.13,2076,364.178289980732
"8",2015-02-23,359.685463917526,753704.86,2063,365.344091129423
"9",2015-03-02,354.702929292929,739312.21,2061,358.715288694808
"10",2015-03-09,342.18932038835,709036.5,2062,343.858632395732
"11",2015-03-16,546.027826086957,1117945.7,2054,544.277361246349
"12",2015-03-20,612.254526315789,1317838.2,2258,583.630735163862
"13",2015-03-23,473.133232323232,969379.05,2080,466.047620192308
"14",2015-03-30,512.991888888889,1080088.83,2064,523.298851744186
"15",2015-04-06,460.807340425532,957452.25,2031,471.419128508124
"16",2015-04-13,372.823370786517,806664.19,2059,391.774740165129
"17",2015-04-20,340.623522727273,717898.51,2062,348.156406401552
"18",2015-04-27,298.531086956522,631192.35,2031,310.779098966027
"19",2015-05-04,344.628085106383,732463.18,2046,357.997644183773
"20",2015-05-11,357.611888888889,732778.25,2038,359.557531894014
"21",2015-05-18,298.117640449438,610911.25,2026,301.535661401777
"22",2015-05-25,243.171473684211,512105.95,2049,249.929697413372
"23",2015-06-01,259.306770833333,554015.88,2063,268.548657295201
"24",2015-06-08,307.4025,633254.6,2037,310.876092292587
"25",2015-06-15,311.434361702128,657582.85,2068,317.980101547389
"26",2015-06-22,294.4125,609670.61,2050,297.400297560976
"27",2015-06-29,277.521413043478,579407.03,2078,278.829177093359
"28",2015-07-06,256.691960784314,552681.64,2106,262.431927825261
"29",2015-07-13,280.01068627451,598714.35,2092,286.19232791587
"30",2015-07-20,291.791368421053,625773.2,2112,296.294128787879
"31",2015-07-27,291.692087912088,638633.8,2114,302.097350993378
"32",2015-08-03,319.565247524752,679160.57,2088,325.268472222222
"33",2015-08-10,313.450526315789,663244.52,2083,318.408314930389
"34",2015-08-17,281.116082474227,600336.1,2099,286.010528823249
"35",2015-08-24,247.492121212121,529024.83,2088,253.364382183908
"36",2015-08-31,249.243904761905,532087.57,2098,253.616572926597
"37",2015-09-07,238.449344262295,514851.93,2104,244.701487642586
"38",2015-09-14,247.105567010309,514476.78,2090,246.161138755981
"39",2015-09-21,221.632547169811,474207.25,2090,226.893421052632
"40",2015-09-28,250.78,536341.2,2057,260.739523578026
"41",2015-10-05,281.919636363636,616201.36,2085,295.540220623501
"42",2015-10-12,305.317628865979,661279.68,2061,320.853799126638
"43",2015-10-19,323.602952380952,703276.25,2126,330.797859830668
"44",2015-10-26,337.265098039216,704727.21,2070,340.447927536232
"45",2015-11-02,330.982123893805,717024.9,2071,346.221583775954
"46",2015-11-09,343.934336283186,750269.25,2139,350.757012622721
"47",2015-11-16,349.996448598131,749247.19,2098,357.124494756911
"48",2015-11-23,319.716883116883,677596.94,2093,323.744357381749
"49",2015-11-30,267.480980392157,558254.27,2086,267.619496644295
"50",2015-12-07,220.739894736842,464273.96,2058,225.594732750243
"51",2015-12-14,181.415698924731,382357.74,2069,184.803160947318
"52",2015-12-21,472.632277227723,1167201.1,2509,465.205699481865
"53",2015-12-28,466.465487804878,1174054.63,2517,466.449992054033
"54",2016-01-04,269.33632183908,558311.54,2054,271.816718597858
"55",2016-01-11,190.688072289157,402017.47,2071,194.117561564462
"56",2016-01-18,150.68612244898,328934.56,2061,159.599495390587
"57",2016-01-25,173.041530612245,366261.11,2063,177.53810470189
"58",2016-02-01,166.221739130435,346257.83,2086,165.991289549377
"59",2016-02-08,136.043917525773,291191.73,2071,140.60440849831
"60",2016-02-15,130.219183673469,281138.83,2077,135.358127106403
"61",2016-02-22,131.958514851485,286536.88,2095,136.771780429594
"62",2016-02-29,129.725729166667,278566.23,2091,133.221535150646
"63",2016-03-07,133.869705882353,296318.46,2125,139.443981176471
"64",2016-03-14,144.515108695652,301945.51,2076,145.445814065511
"65",2016-03-21,128.651224489796,273242.1,2093,130.550453893932
"66",2016-03-28,137.9493,282887.58,2056,137.59123540856
"67",2016-04-04,132.888111111111,269154.66,2008,134.041165338645
"68",2016-04-11,133.391063829787,267324.06,1998,133.795825825826
"69",2016-04-18,146.501855670103,292489.81,2008,145.662255976096
"70",2016-04-25,196.154601769911,418727.69,1976,211.906725708502
"71",2016-05-02,242.109907407407,504026.28,1987,253.661942627076
"72",2016-05-09,275.180961538462,570420.82,1974,288.966980749747
"73",2016-05-16,372.558113207547,821029.06,1977,415.290369246333
"74",2016-05-23,456.197256637168,932162.97,2019,461.695378900446
"75",2016-05-30,418.915057471264,835348.41,1975,422.961220253165
"76",2016-06-06,306.687653061224,642779.52,2003,320.908397403894
"77",2016-06-13,245.498991596639,509973.55,1984,257.043119959677
"78",2016-06-20,331.560265486726,660262.23,1984,332.793462701613
"79",2016-06-27,332.837857142857,652633.82,1976,330.280273279352
"80",2016-07-04,190.974676258993,564627.4,2247,251.280551846907
"81",2016-07-11,226.025066666667,530518.99,2245,236.311354120267
"82",2016-07-18,246.627553956835,564686.18,2266,249.199549867608
"83",2016-07-25,273.210130718954,589906.67,2267,260.214675782973
"84",2016-08-01,335.637948717949,747918.69,2235,334.639234899329
"85",2016-08-08,328.650820895522,785502.35,2276,345.124055360281
"86",2016-08-15,283.403899371069,628016.65,2256,278.37617464539
"87",2016-08-22,243.650188679245,562653.17,2237,251.521309789897
"88",2016-08-29,227.729872611465,525673.17,2237,234.990241394725
"89",2016-09-05,202.807080745342,485826.23,2262,214.777290008842
"90",2016-09-12,202.227908496732,489887.4,2269,215.904539444689
"91",2016-09-19,272.980797546012,646132.39,2282,283.143028045574
"92",2016-09-26,266.1735,673959.77,2231,302.08864634693
"93",2016-10-03,292.081497005988,728536.74,2238,325.530268096515
"94",2016-10-10,300.370348837209,734358.66,2215,331.538898419865
"95",2016-10-17,306.094598540146,747828.07,2189,341.63
"96",2016-10-24,294.362424242424,746212.95,2193,340.270383036936
"97",2016-10-31,290.03838028169,748788.61,2181,343.323525905548
"98",2016-11-07,281.740993377483,792905.37,2226,356.201873315364
"99",2016-11-14,324.456283783784,829107.63,2181,380.150220082531
"100",2016-11-21,288.332787878788,753471.37,2180,345.629068807339
"101",2016-11-28,277.828117647059,706964.83,2185,323.553697940503
"102",2016-12-05,293.655621301775,702041.9,2193,320.128545371637
"103",2016-12-12,278.125217391304,651488.44,2179,298.985057365764
"104",2016-12-19,344.390467836257,847560.64,2200,385.254836363636
"105",2016-12-26,334.941397058824,850316.03,2184,389.338841575092
"106",2017-01-02,241.689556962025,629515.51,2107,298.77337921215
"107",2017-01-09,219.63993902439,546402.05,2128,256.767880639098
"108",2017-01-16,529.373071895425,779169.48,2120,367.532773584906
"109",2017-01-23,295.114968152866,628308.75,2117,296.792040623524
"110",2017-01-30,270.579940828402,586686.06,2108,278.314070208729
"111",2017-02-06,354.001794871795,631654.13,2136,295.718225655431
"112",2017-02-13,311.905578231293,600403.15,2128,282.144337406015
"113",2017-02-20,241.476470588235,527996.48,2122,248.820207351555
"114",2017-02-27,202.402360248447,455907.94,2123,214.747027790862
"115",2017-03-06,167.013333333333,378345.98,2106,179.651462488129
"116",2017-03-13,138.224606060606,319031.96,2126,150.062069614299
"117",2017-03-20,235.82393258427,385970.45,2133,180.95192217534
"118",2017-03-27,185.038187134503,315972.73,2131,148.274392304083
"119",2017-04-03,170.235131578947,303003.81,2142,141.458361344538
"120",2017-04-10,153.026982248521,316116.55,2145,147.373682983683
"121",2017-04-17,132.715696969697,307442.22,2161,142.268496066636
"122",2017-04-24,125.061886792453,292816.61,2126,137.731237064911
"123",2017-05-01,115.832380952381,279850.22,2134,131.138809746954
"124",2017-05-08,104.911775147929,261352.29,2121,123.22125884017
"125",2017-05-15,95.9086956521739,248905.82,2142,116.202530345472
"126",2017-05-22,90.7990502793296,228516.06,2135,107.033283372365
"127",2017-05-29,81.4900555555556,209194.81,2164,96.6704297597042
"128",2017-06-05,75.9934759358289,183911.75,2123,86.6282383419689
"129",2017-06-12,68.3846783625731,168257.85,2126,79.1429209783631
"130",2017-06-19,61.2312941176471,152819.41,2139,71.4443244506779
"131",2017-06-26,54.4063291139241,143571.58,2142,67.0268814192344
"132",2017-07-03,56.0188414634146,147380.52,2182,67.5437763519707
"133",2017-07-10,60.6411585365854,155459.4,2145,72.4752447552448
"134",2017-07-17,67.6197368421053,192043.56,2181,88.052984869326
"135",2017-07-24,75.4424503311258,203218.77,2154,94.3448328690808
"136",2017-07-31,67.793602484472,180853.16,2153,84.0005387830934
"137",2017-08-07,61.9116666666667,167003.97,2182,76.5371081576535
"138",2017-08-14,55.1819512195122,153812.22,2185,70.3946086956522
"139",2017-08-21,48.9711842105263,140342.26,2185,64.2298672768879
"140",2017-08-28,45.1827272727273,127791.48,2173,58.8087804878049
"141",2017-09-04,41.2649689440994,115078.55,2177,52.8610702802021
"142",2017-09-11,39.3516993464052,109334.55,2174,50.291881324747
"143",2017-09-18,40.3951592356688,110413.35,2158,51.1646663577386
"144",2017-09-25,39.4880124223602,107871.72,2157,50.0100695410292
"145",2017-10-02,35.0399315068493,99897.72,2143,46.6158282781148
"146",2017-10-09,34.7398611111111,104370.33,2126,49.092347130762
"147",2017-10-16,55.0197333333333,135508.09,2109,64.2522949265055
"148",2017-10-23,121.194569536424,216842.79,2110,102.76909478673
"149",2017-10-30,117.175875,236931.85,2132,111.131261726079
"150",2017-11-06,292.781012658228,409791.26,2113,193.938125887364
"151",2017-11-13,318.861935483871,515604.41,2102,245.292297811608
"152",2017-11-20,309.753167701863,573307.3,2116,270.939177693762
"153",2017-11-27,329.271552795031,619285.21,2126,291.291255879586
"154",2017-12-04,300.877515151515,550608.24,2093,263.071304347826
"155",2017-12-11,333.54801242236,543603.95,2100,258.859023809524
"156",2017-12-18,363.01335483871,573075.41,2093,273.805738174869
"157",2017-12-25,277.72568627451,595534.97,2104,283.048940114068
